ID,DescripcionItem,CantidadItem,Municipio,Latitud (Y),Longitud (X),tierras,base,concreto,PvF
0,Canalizacion tuberia en asfalto,1.0,BELLO,6.35108,-75.518336,0.075,0.075,0.0,0.025
1,Canalizacion tuberia en asfalto,10.0,ITUANGO,7.06454762,-75.68392652,0.75,0.75,0.0,0.25
2,Canalizacion tuberia en anden,2.0,CAREPA,7.84744683,-76.74011078,0.15,0.1,0.05,0.0
3,Canalizacion tuberia en anden,13.6,TURBO,7.93057516,-76.62329994,1.02,0.68,0.34,0.0
4,Canalizacion tuberia en anden,25.8,CAREPA,7.75925159,-76.65271805,1.935,1.29,0.645,0.0
5,Canalizacion tuberia en zona verde,15.0,CHIGORODO,7.65701295,-76.68228518,2.25,0.0,0.0,0.0
6,Canalizacion tuberia en zona verde,20.0,CAREPA,7.75925159,-76.65271805,3.0,0.0,0.0,0.0
7,Canalizacion tuberia en zona verde,24.4,TURBO,7.93057516,-76.62329994,3.66,0.0,0.0,0.0
8,Canalizacion tuberia en zona verde,36.2,TURBO,7.943896,-76.726203,5.430000000000001,0.0,0.0,0.0
9,Canalizacion tuberia en zona verde,41.0,ARBOLETES,8.85152208,-76.42684417,6.15,0.0,0.0,0.0
10,Canalizacion tuberia en zona verde,16.0,ARBOLETES,8.84837123,-76.42570859,2.4,0.0,0.0,0.0
11,Canalizacion tuberia en zona verde,22.0,NECOCLI,8.42850023,-76.78398518,3.3,0.0,0.0,0.0
12,Canalizacion tuberia en concreto,1.6,CAROLINA DEL PRINCIPE,6.72754747,-75.28715117,0.12,0.08,0.08,0.0
13,Canalizacion tuberia en anden,11.6,MEDELLIN,6.231246,-75.585241,0.87,0.58,0.29,0.0
14,Canalizacion tuberia en anden,1.0,BELLO,6.32784,-75.567989,0.075,0.05,0.025,0.0
15,Canalizacion tuberia en anden,1.0,BELLO,6.341363,-75.539792,0.075,0.05,0.025,0.0
16,Canalizacion tuberia en anden,1.0,BELLO,6.38103351,-75.62000158,0.075,0.05,0.025,0.0
17,Canalizacion tuberia en anden,1.0,ENVIGADO,6.15895762,-75.59987774,0.075,0.05,0.025,0.0
18,Canalizacion tuberia en anden,1.0,ENVIGADO,6.160176,-75.590211,0.075,0.05,0.025,0.0
19,Canalizacion tuberia en anden,1.0,ENVIGADO,6.16045695,-75.59129643,0.075,0.05,0.025,0.0
20,Canalizacion tuberia en anden,1.0,GIRARDOTA,6.3503196,-75.4573937,0.075,0.05,0.025,0.0
21,Canalizacion tuberia en anden,1.0,MEDELLIN,6.23236663,-75.53254353,0.075,0.05,0.025,0.0
22,Canalizacion tuberia en anden,1.0,MEDELLIN,6.27685,-75.640598,0.075,0.05,0.025,0.0
23,Canalizacion tuberia en anden,1.0,MEDELLIN,6.278783,-75.620846,0.075,0.05,0.025,0.0
24,Canalizacion tuberia en anden,1.0,MEDELLIN,6.27972239,-75.61982209,0.075,0.05,0.025,0.0
25,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28012299,-75.62331149,0.075,0.05,0.025,0.0
26,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28024849,-75.61302721,0.075,0.05,0.025,0.0
27,Canalizacion tuberia en anden,1.0,MEDELLIN,6.280672,-75.622271,0.075,0.05,0.025,0.0
28,Canalizacion tuberia en anden,1.0,MEDELLIN,6.281818,-75.609271,0.075,0.05,0.025,0.0
29,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28342369,-75.61777806,0.075,0.05,0.025,0.0
30,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28364466,-75.61902348,0.075,0.05,0.025,0.0
31,Canalizacion tuberia en anden,1.0,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0.0
32,Canalizacion tuberia en anden,1.0,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0.0
33,Canalizacion tuberia en anden,1.0,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0.0
34,Canalizacion tuberia en anden,1.0,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0.0
35,Canalizacion tuberia en anden,1.0,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0.0
36,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28813,-75.60507905,0.075,0.05,0.025,0.0
37,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28905167,-75.60519333,0.075,0.05,0.025,0.0
38,Canalizacion tuberia en anden,1.0,MEDELLIN,6.28908,-75.606134,0.075,0.05,0.025,0.0
39,Canalizacion tuberia en anden,1.0,MEDELLIN,6.289355,-75.6056,0.075,0.05,0.025,0.0
