fid,ID,DescripcionItem,CantidadItem,Municipio,Latitud (Y),Longitud (X),tierras,base,concreto,PvF
"1","0",Canalizacion tuberia en asfalto,1,BELLO,6.35108,-75.518336,0.075,0.075,0,0.025
"2","13",Canalizacion tuberia en anden,11.6,MEDELLIN,6.231246,-75.585241,0.87,0.58,0.29,0
"3","14",Canalizacion tuberia en anden,1,BELLO,6.32784,-75.567989,0.075,0.05,0.025,0
"4","15",Canalizacion tuberia en anden,1,BELLO,6.341363,-75.539792,0.075,0.05,0.025,0
"5","16",Canalizacion tuberia en anden,1,BELLO,6.38103351,-75.62000158,0.075,0.05,0.025,0
"6","20",Canalizacion tuberia en anden,1,GIRARDOTA,6.3503196,-75.4573937,0.075,0.05,0.025,0
"7","21",Canalizacion tuberia en anden,1,MEDELLIN,6.23236663,-75.53254353,0.075,0.05,0.025,0
"8","22",Canalizacion tuberia en anden,1,MEDELLIN,6.27685,-75.640598,0.075,0.05,0.025,0
"9","23",Canalizacion tuberia en anden,1,MEDELLIN,6.278783,-75.620846,0.075,0.05,0.025,0
"10","24",Canalizacion tuberia en anden,1,MEDELLIN,6.27972239,-75.61982209,0.075,0.05,0.025,0
"11","25",Canalizacion tuberia en anden,1,MEDELLIN,6.28012299,-75.62331149,0.075,0.05,0.025,0
"12","26",Canalizacion tuberia en anden,1,MEDELLIN,6.28024849,-75.61302721,0.075,0.05,0.025,0
"13","27",Canalizacion tuberia en anden,1,MEDELLIN,6.280672,-75.622271,0.075,0.05,0.025,0
"14","28",Canalizacion tuberia en anden,1,MEDELLIN,6.281818,-75.609271,0.075,0.05,0.025,0
"15","29",Canalizacion tuberia en anden,1,MEDELLIN,6.28342369,-75.61777806,0.075,0.05,0.025,0
"16","30",Canalizacion tuberia en anden,1,MEDELLIN,6.28364466,-75.61902348,0.075,0.05,0.025,0
"17","31",Canalizacion tuberia en anden,1,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0
"18","32",Canalizacion tuberia en anden,1,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0
"19","33",Canalizacion tuberia en anden,1,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0
"20","34",Canalizacion tuberia en anden,1,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0
"21","35",Canalizacion tuberia en anden,1,MEDELLIN,6.284641,-75.613704,0.075,0.05,0.025,0
"22","36",Canalizacion tuberia en anden,1,MEDELLIN,6.28813,-75.60507905,0.075,0.05,0.025,0
"23","37",Canalizacion tuberia en anden,1,MEDELLIN,6.28905167,-75.60519333,0.075,0.05,0.025,0
