NOMBRE_RAZON_SOCIAL,MUNICIPIO,DIRECCION,X,Y,RECIBE
RECICLADOS INDUSTRIALES DE COLOMBIA S.A.S.,GIRARDOTA,"Vereda Portachuelo, predio Reciclados Industriales de Colombia S.A.S.",-75.472555332195,6.3785555144353,PvF
RECICLADOS INDUSTRIALES DE COLOMBIA S.A.S.,GIRARDOTA,"Vereda Portachuelo, predio Reciclados Industriales de Colombia S.A.S.",-75.472555332195,6.3785555144353,Concreto
RECICLADOS INDUSTRIALES DE COLOMBIA S.A.S.,GIRARDOTA,"Vereda Portachuelo, predio Reciclados Industriales de Colombia S.A.S.",-75.472555332195,6.3785555144353,Base
INDURAL S.A.,GIRARDOTA,"Vereda Portachuelo, km 1.2",-75.4739455321751,6.3780111844182,Concreto
INDURAL S.A.,GIRARDOTA,"Vereda Portachuelo, km 1.2",-75.4739455321751,6.3780111844182,Base
MINCIVIL S.A. - MINERÍA Y CONSTRUCCIONES CIVILES DE COLOMBIA S.A.,GIRARDOTA,Autopista Norte Kilómetro 26 vereda La Palma,-75.4367822038153,6.394658074925,RCD
CONPRECOLOR,GUARNE,"AUTOPISTA MEDELLIN-BOGOTA KM 20, VEREDA EL SANGO",-75.451831,6.294097,Concreto
INGETIERRAS DE COLOMBIA S.A.,RIONEGRO,Km 2 Vía el Tranvía,-75.3647484898134,6.170891341362,RCD
ECORCD S.A.S,RIONEGRO,Km 1 Auto Medellín-Bogotá,-75.368715,6.172004,PvF
ECORCD S.A.S,RIONEGRO,Km 1 Auto Medellín-Bogotá,-75.368715,6.172004,Concreto
ECORCD S.A.S,RIONEGRO,Km 1 Auto Medellín-Bogotá,-75.368715,6.172004,Base
INDUSTRIAL CONCONCRETO SAS,GIRARDOTA,Cll 5B # 21-24,-75.4453096216706,6.3811300552908,RCD
LLENO EXTRUCTURAL DE OCCIDENTE S.A.S,SAN JERONIMO,Km 3.5 Vía San Jerónimo - Sopetrán,-75.74833,6.460573,RCD
AGREGADOS ARGOS S.A.S,BELLO,Carrera 42b Número 26 – 200 200 Autopista Medellín – Bogotá (Km 1+ 680),-75.54667,6.317126,Concreto
AGREGADOS ARGOS S.A.S,BELLO,Carrera 42b Número 26 – 200 200 Autopista Medellín – Bogotá (Km 1+ 680),-75.54667,6.317126,Base
PAVIMENTAR S.A.,GIRARDOTA,Vereda Ancón Norte,-75.457716,6.380119,PvF
PAVIMENTAR S.A.,GIRARDOTA,Vereda Ancón Norte,-75.457716,6.380119,RCD
ZODME LA ALBANIA S.A.S.,TITIRIBI,Corregimiento La Albania,-75.747115,6.063452,RCD
ALFARERA SANTA RITA S.A.,MEDELLIN,Cll 28 # 87 - 33 (Interior 170),-75.611811,6.226583,Tierras
LADRILLERA ALTAVISTA S.A.,MEDELLIN,Cll 18 # 105 - 97,-75.628964,6.222963,Tierras
HUGO ALBERTO MARIN SALAZAR,VEGACHI,Hacienda El Japón,-74.795106,6.808651,RCD
MAQUINARIA Y MATERIALES DE CONSTRUCCIÓN,REMEDIOS,Autopista Conexión Norte,-74.706213,7.048385,RCD
EMPRESA DE SERVICIOS PÚBLICOS DE GRANADA E.S.P.G,GRANADA,Cll 20 No 20-05,-75.164199,6.145756,RCD
RCD APARTADO,APARTADO,"Calle 74 N° 98A-14, vereda Salsipuedes",-76.6025,7.86805556,RCD
ISMOCOL OCENSA S.A.,PUERTO BERRIO,"Hacienda Grecia, Lote 2 – La Malena",-74.4182241372998,6.48947124228139,RCD
ESCOMBRERA MUNICIPAL DE SANTA FE DE ANTIOQUIA,SANTAFE,"(-75.818191, 6.562256)",-75.818191,6.562256,RCD
